127.0.0.1 - - [17/Dec/2020:14:30:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:30:32 +0900] "GET /mbb/boardMain.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:30:33 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:30:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:30:37 +0900] "GET /mbb/boardInsertForm.do HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:30:53 +0900] "POST /mbb/boardInsert.do HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:30:53 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:30:55 +0900] "GET /mbb/boardDetail.do?b_num=61 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:31:01 +0900] "GET /mbb/boardDelete.do?b_num=61 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:31:01 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:31:16 +0900] "GET /mbb/boardDetail.do?b_num=42 HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:31:21 +0900] "GET /mbb/boardDelete.do?b_num=42 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:31:21 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:31:23 +0900] "GET /mbb/boardInsertForm.do HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:31:54 +0900] "POST /mbb/boardInsert.do HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:31:56 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:43:00 +0900] "GET /mbb/boardList.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:43:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:43:02 +0900] "GET /mbb/boardDetail.do?b_num=62 HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [17/Dec/2020:14:43:12 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:09:40 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:09:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:09:46 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:12 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:16 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:17 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:19 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2020:15:15:19 +0900] "GET /mbb/boardUpdateForm.do?b_num=62 HTTP/1.1" 200 206
