0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:12:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:12:58 +0900] "GET /03_Javascript/Chapter06/images/btn_over.gif HTTP/1.1" 200 6385
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:13:52 +0900] "GET /03_Javascript/Chapter06/NewFile12.html HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:13:52 +0900] "GET /03_Javascript/Chapter06/images/btn_out.gif HTTP/1.1" 200 5906
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:13:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:14:00 +0900] "GET /03_Javascript/Chapter06/images/btn_over.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:22:22 +0900] "GET /03_Javascript/Chapter06/NewFile13.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:22:23 +0900] "GET /03_Javascript/Chapter06/images/btn_out.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:22:24 +0900] "GET /03_Javascript/Chapter06/images/btn_over.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:23:23 +0900] "GET /03_Javascript/Chapter06/NewFile13.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:23:40 +0900] "GET /03_Javascript/Chapter06/NewFile13.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:24:07 +0900] "GET /03_Javascript/Chapter06/NewFile12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:24:07 +0900] "GET /03_Javascript/Chapter06/images/btn_out.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:25:21 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:27:35 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:32:38 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:33:11 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:35:40 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:35:51 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:37:19 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:38:16 +0900] "GET /03_Javascript/Chapter06/NewFile14.html?userName=%ED%99%8D%EA%B8%B8%EB%8F%99&userTel=1010000064 HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [28/Oct/2020:16:56:12 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [28/Oct/2020:17:01:07 +0900] "GET /03_Javascript/Chapter06/NewFile14.html HTTP/1.1" 200 1809
