127.0.0.1 - - [26/Oct/2020:14:12:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:12:21 +0900] "GET /03_Javascript/Chapter03/NewFile10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:12:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:20:07 +0900] "GET /03_Javascript/Chapter04/NewFile.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:21:21 +0900] "GET /03_Javascript/Chapter04/NewFile.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:30:05 +0900] "GET /03_Javascript/Chapter04/NewFile1.html HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:30:23 +0900] "GET /03_Javascript/Chapter04/NewFile1.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:33:44 +0900] "GET /03_Javascript/Chapter04/NewFile2.html HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:33:52 +0900] "GET /03_Javascript/Chapter04/NewFile2.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:36:45 +0900] "GET /03_Javascript/Chapter04/NewFile2.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:37:45 +0900] "GET /03_Javascript/Chapter04/NewFile2.html HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:37:53 +0900] "GET /03_Javascript/Chapter04/NewFile2.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:42:07 +0900] "GET /03_Javascript/Chapter04/NewFile3.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:45:23 +0900] "GET /03_Javascript/Chapter04/NewFile4.html HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:46:56 +0900] "GET /03_Javascript/Chapter04/NewFile4.html HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [26/Oct/2020:14:48:17 +0900] "GET /03_Javascript/Chapter05/219_event_0.html HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [26/Oct/2020:15:12:04 +0900] "GET /03_Javascript/Chapter05/NewFile.html HTTP/1.1" 200 615
