127.0.0.1 - - [27/Oct/2020:14:11:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:11:56 +0900] "GET /03_Javascript/Chapter06/RSP_Gamewin.html HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:11:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:12:26 +0900] "GET /03_Javascript/Chapter06/RSP_Game.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:12:29 +0900] "GET /03_Javascript/Chapter06/RSP_Game.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:12:30 +0900] "GET /03_Javascript/Chapter06/RSP_Game.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:12:32 +0900] "GET /03_Javascript/Chapter06/RSP_Game.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:13:59 +0900] "GET /03_Javascript/Chapter06/NewFile3.html HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:14:26 +0900] "GET /03_Javascript/Chapter06/NewFile3.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:15:37 +0900] "GET /03_Javascript/Chapter06/NewFile3.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:16:24 +0900] "GET /03_Javascript/Chapter06/NewFile3.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:18:00 +0900] "GET /03_Javascript/Chapter06/NewFile4.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:18:56 +0900] "GET /03_Javascript/Chapter06/NewFile4.html HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:20:06 +0900] "GET /03_Javascript/Chapter06/NewFile4.html HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:20:14 +0900] "GET /03_Javascript/Chapter06/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:20:14 +0900] "GET /03_Javascript/Chapter06/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:14:20:15 +0900] "GET /03_Javascript/Chapter06/NewFile4.html HTTP/1.1" 304 -
